Back to Contents,Data 1: Weekly U.S. Ending Stocks of Crude Oil in SPR  (Thousand Barrels)
Sourcekey,WCSSTUS1
Date,Weekly U.S. Ending Stocks of Crude Oil in SPR  (Thousand Barrels)
30183.0,270455
30190.0,272603
30218.0,276833
30225.0,277633
30232.0,278725
30239.0,280802
30246.0,283393
30253.0,284268
30260.0,284906
30267.0,286198
30274.0,286335
30281.0,288156
30288.0,289963
30295.0,291509
30302.0,291718
30309.0,292488
30316.0,293214
30323.0,294818
30330.0,295440
30337.0,296684
30344.0,298379
30351.0,300917
30358.0,301960
30365.0,303746
30372.0,305348
30379.0,306964
30386.0,308517
30393.0,309756
30400.0,310320
30407.0,311841
30414.0,313583
30421.0,314817
30435.0,317456
30449.0,320749
30456.0,324116
30470.0,326832
30477.0,327402
30484.0,327971
30491.0,330079
30498.0,332136
30505.0,334661
30512.0,335797
30519.0,337901
30526.0,339962
30533.0,341779
30540.0,343932
30547.0,345689
30554.0,349031
30561.0,351783
30568.0,353339
30575.0,355695
30582.0,358289
30589.0,360456
30596.0,361276
30603.0,364933
30610.0,365212
30617.0,366141
30624.0,368324
30631.0,369566
30638.0,370160
30645.0,370630
30652.0,371291
30659.0,374518
30666.0,375005
30673.0,377184
30680.0,378309
30687.0,380664
30694.0,382600
30701.0,383796
30708.0,384455
30715.0,384770
30722.0,385472
30729.0,386277
30736.0,386935
30743.0,387234
30750.0,387559
30757.0,388737
30764.0,389265
30771.0,391798
30778.0,393499
30785.0,393499
30792.0,395330
30799.0,395957
30806.0,397205
30813.0,398454
30820.0,399500
30827.0,400842
30834.0,402825
30841.0,405194
30848.0,408365
30855.0,408730
30862.0,412610
30869.0,413730
30876.0,417032
30883.0,418845
30890.0,420094
30897.0,423899
30904.0,426110
30911.0,427600
30918.0,428280
30925.0,429467
30932.0,430101
30939.0,430101
30946.0,430407
30953.0,431066
30960.0,432086
30967.0,433080
30974.0,433396
30981.0,433895
30988.0,436093
30995.0,438731
31002.0,439228
31009.0,441273
31016.0,443046
31023.0,444074
31030.0,446094
31037.0,447559
31044.0,449157
31051.0,450505
31058.0,450851
31065.0,453800
31072.0,454165
31079.0,457232
31086.0,457755
31093.0,458106
31100.0,458753
31107.0,459519
31114.0,460138
31121.0,460398
31128.0,461005
31135.0,461266
31142.0,461617
31149.0,461962
31156.0,462387
31163.0,464051
31170.0,464940
31177.0,466127
31184.0,467854
31191.0,469968
31198.0,471336
31205.0,471930
31212.0,473426
31219.0,474619
31226.0,476150
31233.0,476571
31240.0,477998
31247.0,481253
31254.0,482052
31261.0,483533
31268.0,483947
31275.0,484640
31282.0,485619
31289.0,486860
31296.0,487383
31303.0,487755
31310.0,488019
31317.0,489249
31324.0,489254
31331.0,489254
31338.0,489254
31345.0,489616
31352.0,489880
31359.0,490140
31366.0,490140
31373.0,490794
31380.0,491057
31387.0,491827
31394.0,492082
31401.0,492607
31408.0,492666
31415.0,493316
31422.0,492793
31429.0,492793
31436.0,493506
31443.0,494389
31450.0,494392
31457.0,494392
31464.0,494724
31471.0,495057
31478.0,495782
31485.0,495782
31492.0,496188
31499.0,496590
31506.0,496892
31513.0,497295
31520.0,497559
31527.0,498170
31534.0,498784
31541.0,498784
31548.0,498784
31555.0,499130
31562.0,499479
31569.0,500292
31576.0,500695
31583.0,501043
31590.0,501384
31597.0,501786
31604.0,502131
31611.0,502750
31618.0,503095
31625.0,503398
31632.0,503400
31639.0,504191
31646.0,504578
31653.0,504973
31660.0,504973
31667.0,505316
31674.0,505658
31681.0,506381
31688.0,506381
31695.0,506381
31702.0,506815
31709.0,506815
31716.0,507518
31723.0,507894
31730.0,508398
31737.0,508398
31744.0,509267
31751.0,509470
31758.0,509678
31765.0,510656
31772.0,511001
31779.0,511564
31786.0,511956
31793.0,512472
31800.0,513038
31807.0,513935
31814.0,515200
31821.0,515403
31828.0,515809
31835.0,516491
31842.0,516709
31849.0,518066
31856.0,518411
31863.0,518918
31870.0,519979
31877.0,520346
31884.0,520903
31891.0,521250
31898.0,521983
31905.0,522875
31912.0,523355
31919.0,523844
31926.0,524820
31933.0,525735
31940.0,526084
31947.0,526429
31954.0,526772
31961.0,527189
31968.0,527987
31975.0,528330
31982.0,529171
31989.0,529670
31996.0,530510
32003.0,530850
32010.0,531288
32017.0,531971
32024.0,531971
32031.0,532319
32038.0,533054
32045.0,533395
32052.0,533894
32059.0,533894
32066.0,534228
32073.0,534961
32080.0,535305
32087.0,536107
32094.0,536521
32101.0,537311
32108.0,537707
32115.0,538547
32122.0,538547
32129.0,539051
32136.0,540158
32143.0,540659
32150.0,540993
32157.0,541485
32164.0,541485
32171.0,542432
32178.0,542720
32185.0,543212
32192.0,543212
32199.0,543656
32206.0,544146
32213.0,544643
32220.0,544643
32227.0,544927
32234.0,544927
32241.0,545779
32248.0,546184
32255.0,546184
32262.0,546690
32269.0,547258
32276.0,547258
32283.0,547258
32290.0,547597
32297.0,547938
32304.0,548910
32311.0,548910
32318.0,549361
32325.0,549697
32332.0,550404
32339.0,550748
32346.0,551043
32353.0,551345
32360.0,551647
32367.0,551647
32374.0,551647
32381.0,552141
32388.0,552141
32395.0,553036
32402.0,553036
32409.0,553544
32416.0,554146
32423.0,554146
32430.0,554649
32437.0,555160
32444.0,556003
32451.0,556001
32458.0,556844
32465.0,557680
32472.0,558179
32479.0,558670
32486.0,558673
32493.0,559167
32500.0,559167
32507.0,559513
32514.0,559908
32521.0,560761
32528.0,561186
32535.0,561186
32542.0,561862
32549.0,562684
32556.0,563028
32563.0,563374
32570.0,563884
32577.0,564229
32584.0,565578
32591.0,565578
32598.0,565578
32605.0,566224
32612.0,566707
32619.0,566707
32626.0,567430
32633.0,568008
32640.0,568910
32647.0,568910
32654.0,569420
32661.0,570402
32668.0,570912
32675.0,570912
32682.0,570912
32689.0,571721
32696.0,572061
32703.0,572857
32710.0,573202
32717.0,574045
32724.0,574390
32731.0,574388
32738.0,574388
32745.0,574732
32752.0,575376
32759.0,575932
32766.0,576274
32773.0,576593
32780.0,577128
32787.0,577131
32794.0,577430
32801.0,577782
32808.0,577782
32815.0,578283
32822.0,578659
32829.0,579001
32836.0,579487
32843.0,579487
32850.0,579854
32857.0,579854
32864.0,579854
32871.0,579854
32878.0,579854
32885.0,580228
32892.0,580228
32899.0,580228
32906.0,580599
32913.0,580925
32920.0,580925
32927.0,580925
