Date,GSCPI
31-Jan-1998,-1.16
28-Feb-1998,-0.44
31-Mar-1998,-0.03
30-Apr-1998,-0.09
31-May-1998,-0.42
30-Jun-1998,-0.76
31-Jul-1998,-0.88
31-Aug-1998,-0.89
30-Sep-1998,-0.92
31-Oct-1998,-0.64
30-Nov-1998,-0.83
31-Dec-1998,-0.59
31-Jan-1999,-0.29
28-Feb-1999,-0.06
31-Mar-1999,-0.32
30-Apr-1999,-0.24
31-May-1999,-0.40
30-Jun-1999,-0.37
31-Jul-1999,-0.65
31-Aug-1999,-0.47
30-Sep-1999,-0.39
31-Oct-1999,-0.14
30-Nov-1999,-0.19
31-Dec-1999,-0.18
31-Jan-2000,-0.60
29-Feb-2000,-0.42
31-Mar-2000,-0.26
30-Apr-2000,0.14
31-May-2000,0.33
30-Jun-2000,0.09
31-Jul-2000,0.08
31-Aug-2000,0.18
30-Sep-2000,0.09
31-Oct-2000,-0.45
30-Nov-2000,-0.68
31-Dec-2000,-0.91
31-Jan-2001,-0.85
28-Feb-2001,-0.67
31-Mar-2001,-0.56
30-Apr-2001,-0.93
31-May-2001,-1.05
30-Jun-2001,-0.69
31-Jul-2001,-0.87
31-Aug-2001,-0.83
30-Sep-2001,-0.71
31-Oct-2001,-1.27
30-Nov-2001,-1.50
31-Dec-2001,-1.24
31-Jan-2002,-1.04
28-Feb-2002,-0.58
31-Mar-2002,-0.51
30-Apr-2002,-0.69
31-May-2002,-0.39
30-Jun-2002,-0.65
31-Jul-2002,-0.98
31-Aug-2002,-1.11
30-Sep-2002,-1.15
31-Oct-2002,-1.26
30-Nov-2002,-0.73
31-Dec-2002,-0.69
31-Jan-2003,-0.63
28-Feb-2003,-0.33
31-Mar-2003,-0.35
30-Apr-2003,-0.55
31-May-2003,-0.16
30-Jun-2003,-0.13
31-Jul-2003,-0.03
31-Aug-2003,-0.09
30-Sep-2003,0.05
31-Oct-2003,-0.30
30-Nov-2003,-0.46
31-Dec-2003,-0.40
31-Jan-2004,-0.54
29-Feb-2004,-0.43
31-Mar-2004,-0.07
30-Apr-2004,0.34
31-May-2004,0.27
30-Jun-2004,0.37
31-Jul-2004,-0.52
31-Aug-2004,0.07
30-Sep-2004,-0.05
31-Oct-2004,-0.66
30-Nov-2004,-0.04
31-Dec-2004,0.09
31-Jan-2005,-0.17
28-Feb-2005,-0.22
31-Mar-2005,-0.32
30-Apr-2005,-1.37
31-May-2005,-1.04
30-Jun-2005,-0.97
31-Jul-2005,-0.95
31-Aug-2005,-0.57
30-Sep-2005,0.01
31-Oct-2005,-0.16
30-Nov-2005,-0.75
31-Dec-2005,-0.81
31-Jan-2006,-0.46
28-Feb-2006,-0.83
31-Mar-2006,-0.44
30-Apr-2006,0.06
31-May-2006,0.09
30-Jun-2006,0.12
31-Jul-2006,-0.11
31-Aug-2006,0.05
30-Sep-2006,-0.65
31-Oct-2006,-0.52
30-Nov-2006,-0.23
31-Dec-2006,-0.47
31-Jan-2007,-0.89
28-Feb-2007,-0.72
31-Mar-2007,-0.58
30-Apr-2007,-0.83
31-May-2007,-0.42
30-Jun-2007,-0.39
31-Jul-2007,-0.45
31-Aug-2007,-0.12
30-Sep-2007,-0.04
31-Oct-2007,-0.62
30-Nov-2007,-0.49
31-Dec-2007,-0.17
31-Jan-2008,-0.39
29-Feb-2008,0.43
31-Mar-2008,0.14
30-Apr-2008,0.13
31-May-2008,-0.14
30-Jun-2008,0.27
31-Jul-2008,1.01
31-Aug-2008,0.27
30-Sep-2008,-0.56
31-Oct-2008,-1.05
30-Nov-2008,-1.53
31-Dec-2008,-0.65
31-Jan-2009,-0.42
28-Feb-2009,-0.52
31-Mar-2009,0.12
30-Apr-2009,0.82
31-May-2009,0.31
30-Jun-2009,-0.55
31-Jul-2009,-0.80
31-Aug-2009,-1.17
30-Sep-2009,-0.51
31-Oct-2009,-0.44
30-Nov-2009,-0.78
31-Dec-2009,-0.62
31-Jan-2010,-0.32
28-Feb-2010,-0.18
31-Mar-2010,0.34
30-Apr-2010,0.25
31-May-2010,0.38
30-Jun-2010,-0.08
31-Jul-2010,-0.07
31-Aug-2010,0.32
30-Sep-2010,0.36
31-Oct-2010,0.68
30-Nov-2010,0.41
31-Dec-2010,0.66
31-Jan-2011,0.73
28-Feb-2011,0.32
31-Mar-2011,0.70
30-Apr-2011,1.58
31-May-2011,0.90
30-Jun-2011,0.20
31-Jul-2011,0.29
31-Aug-2011,-0.13
30-Sep-2011,-0.58
31-Oct-2011,-0.40
30-Nov-2011,0.14
31-Dec-2011,-0.07
31-Jan-2012,0.36
29-Feb-2012,-0.01
31-Mar-2012,-0.40
30-Apr-2012,-0.33
31-May-2012,-0.70
30-Jun-2012,-0.71
31-Jul-2012,-0.67
31-Aug-2012,-0.15
30-Sep-2012,-0.27
31-Oct-2012,-0.02
30-Nov-2012,-0.36
31-Dec-2012,-0.17
31-Jan-2013,-0.08
28-Feb-2013,-0.41
31-Mar-2013,-0.57
30-Apr-2013,-0.77
31-May-2013,-0.88
30-Jun-2013,-0.68
31-Jul-2013,-0.67
31-Aug-2013,-0.58
30-Sep-2013,-0.28
31-Oct-2013,-0.20
30-Nov-2013,-0.71
31-Dec-2013,-0.50
31-Jan-2014,-0.65
28-Feb-2014,-0.29
31-Mar-2014,-0.63
30-Apr-2014,-0.81
31-May-2014,-0.82
30-Jun-2014,-0.71
31-Jul-2014,-0.83
31-Aug-2014,-0.65
30-Sep-2014,-0.85
31-Oct-2014,-0.62
30-Nov-2014,-1.03
31-Dec-2014,-0.45
31-Jan-2015,-0.54
28-Feb-2015,-0.36
31-Mar-2015,-0.43
30-Apr-2015,-0.37
31-May-2015,-0.59
30-Jun-2015,-0.90
31-Jul-2015,-0.44
31-Aug-2015,-0.72
30-Sep-2015,-0.42
31-Oct-2015,-0.26
30-Nov-2015,-0.68
31-Dec-2015,-0.64
31-Jan-2016,-0.83
29-Feb-2016,-0.77
31-Mar-2016,-0.66
30-Apr-2016,-0.27
31-May-2016,-0.75
30-Jun-2016,-0.31
31-Jul-2016,-0.19
31-Aug-2016,0.09
30-Sep-2016,-0.31
31-Oct-2016,-0.09
30-Nov-2016,-0.34
31-Dec-2016,-0.25
31-Jan-2017,0.16
28-Feb-2017,0.17
31-Mar-2017,0.08
30-Apr-2017,-0.00
31-May-2017,-0.17
30-Jun-2017,0.07
31-Jul-2017,0.07
31-Aug-2017,0.38
30-Sep-2017,0.53
31-Oct-2017,0.76
30-Nov-2017,0.81
31-Dec-2017,0.66
31-Jan-2018,0.57
28-Feb-2018,0.04
31-Mar-2018,0.42
30-Apr-2018,0.49
31-May-2018,0.35
30-Jun-2018,0.41
31-Jul-2018,0.41
31-Aug-2018,0.52
30-Sep-2018,0.45
31-Oct-2018,0.51
30-Nov-2018,0.44
31-Dec-2018,0.45
31-Jan-2019,0.50
28-Feb-2019,0.12
31-Mar-2019,0.19
30-Apr-2019,-0.01
31-May-2019,-0.64
30-Jun-2019,-0.47
31-Jul-2019,-0.46
31-Aug-2019,-0.31
30-Sep-2019,0.12
31-Oct-2019,0.07
30-Nov-2019,0.13
31-Dec-2019,0.02
31-Jan-2020,0.06
29-Feb-2020,1.21
31-Mar-2020,2.60
30-Apr-2020,3.34
31-May-2020,2.57
30-Jun-2020,2.30
31-Jul-2020,2.95
31-Aug-2020,1.47
30-Sep-2020,0.63
31-Oct-2020,0.11
30-Nov-2020,0.76
31-Dec-2020,1.69
31-Jan-2021,1.33
28-Feb-2021,1.96
31-Mar-2021,2.27
30-Apr-2021,2.77
31-May-2021,3.05
30-Jun-2021,2.75
31-Jul-2021,2.96
31-Aug-2021,3.32
30-Sep-2021,3.38
31-Oct-2021,3.92
30-Nov-2021,4.35
31-Dec-2021,4.43
31-Jan-2022,3.71
28-Feb-2022,2.80
31-Mar-2022,2.85
30-Apr-2022,3.52
31-May-2022,2.73
30-Jun-2022,2.40
31-Jul-2022,1.82
31-Aug-2022,1.50
30-Sep-2022,0.98
31-Oct-2022,1.09
30-Nov-2022,1.26
31-Dec-2022,1.34
31-Jan-2023,1.07
28-Feb-2023,-0.26
31-Mar-2023,-1.19
30-Apr-2023,-1.33
31-May-2023,-1.59
30-Jun-2023,-1.11
31-Jul-2023,-0.92
31-Aug-2023,-1.10
30-Sep-2023,-0.66
31-Oct-2023,-0.39
30-Nov-2023,0.19
31-Dec-2023,-0.15
31-Jan-2024,-0.35
29-Feb-2024,-0.19
31-Mar-2024,-0.36
30-Apr-2024,-0.98
31-May-2024,-0.59
30-Jun-2024,-0.36
31-Jul-2024,-0.04
31-Aug-2024,0.24
30-Sep-2024,0.12
31-Oct-2024,-0.39
30-Nov-2024,-0.31
31-Dec-2024,-0.30
31-Jan-2025,-0.21
28-Feb-2025,-0.01
31-Mar-2025,-0.20
30-Apr-2025,-0.23
31-May-2025,0.29
30-Jun-2025,0.09
31-Jul-2025,0.02
31-Aug-2025,-0.09
30-Sep-2025,-0.02
31-Oct-2025,-0.08
30-Nov-2025,-0.12
31-Dec-2025,0.58
31-Jan-2026,0.48
28-Feb-2026,0.59
31-Mar-2026,0.68
30-Apr-2026,1.85
31-May-2026,1.83
30-Jun-2026,1.20
31-Jul-2026,0.94
31-Aug-2026,1.06
